city,year,reviews
hawaii,2022,213138
hawaii,2019,99323
hawaii,2018,66029
hawaii,2021,148040
hawaii,2017,41088
hawaii,2023,226602
hawaii,2016,24405
hawaii,2024,251522
hawaii,2015,12222
hawaii,2025,201735
hawaii,2020,43991
hawaii,2014,5642
hawaii,2013,2370
hawaii,2012,890
hawaii,2011,257
hawaii,2010,39
los_angeles,2016,49482
los_angeles,2019,149935
los_angeles,2018,111973
los_angeles,2017,75892
los_angeles,2015,26436
los_angeles,2022,188343
los_angeles,2023,240073
los_angeles,2014,12574
los_angeles,2021,133259
los_angeles,2024,292610
los_angeles,2020,89439
los_angeles,2025,222967
los_angeles,2013,5123
los_angeles,2012,2139
los_angeles,2011,847
los_angeles,2010,194
los_angeles,2009,24
nashville,2018,37148
nashville,2019,53296
nashville,2017,25483
nashville,2022,102434
nashville,2023,123344
nashville,2021,68905
nashville,2024,144193
nashville,2016,13618
nashville,2020,34805
nashville,2025,119602
nashville,2015,5594
nashville,2014,1883
nashville,2013,900
nashville,2012,421
nashville,2011,41
nashville,2010,14
nashville,2009,9
new_york,2016,39632
new_york,2018,75619
new_york,2019,97425
new_york,2017,53619
new_york,2015,23259
new_york,2022,129508
new_york,2023,148339
new_york,2014,11591
new_york,2021,74252
new_york,2024,115526
new_york,2013,6086
new_york,2020,35334
new_york,2025,94849
new_york,2012,3319
new_york,2011,1667
new_york,2010,432
new_york,2009,41
san_francisco,2018,31726
san_francisco,2019,39538
san_francisco,2017,24832
san_francisco,2016,18505
san_francisco,2022,47677
san_francisco,2023,52530
san_francisco,2024,55816
san_francisco,2021,28778
san_francisco,2015,12097
san_francisco,2025,43033
san_francisco,2014,7801
san_francisco,2020,15863
san_francisco,2013,3557
san_francisco,2012,1805
san_francisco,2011,932
san_francisco,2010,267
san_francisco,2009,22
