city,year,reviews
hawaii,2010,39
hawaii,2011,258
hawaii,2012,893
hawaii,2013,2380
hawaii,2014,5672
hawaii,2015,12308
hawaii,2016,24776
hawaii,2017,42489
hawaii,2018,68783
hawaii,2019,104339
hawaii,2020,46498
hawaii,2021,155806
hawaii,2022,225452
hawaii,2023,239109
hawaii,2024,266388
hawaii,2025,213981
los_angeles,2009,24
los_angeles,2010,197
los_angeles,2011,857
los_angeles,2012,2147
los_angeles,2013,5179
los_angeles,2014,12727
los_angeles,2015,26784
los_angeles,2016,50772
los_angeles,2017,80267
los_angeles,2018,120006
los_angeles,2019,163212
los_angeles,2020,99500
los_angeles,2021,145781
los_angeles,2022,205464
los_angeles,2023,262568
los_angeles,2024,323431
los_angeles,2025,248431
nashville,2009,9
nashville,2010,14
nashville,2011,41
nashville,2012,425
nashville,2013,903
nashville,2014,1896
nashville,2015,5620
nashville,2016,13807
nashville,2017,26547
nashville,2018,38994
nashville,2019,56454
nashville,2020,37690
nashville,2021,74197
nashville,2022,110529
nashville,2023,132480
nashville,2024,155614
nashville,2025,129674
new_york,2009,43
new_york,2010,434
new_york,2011,1679
new_york,2012,3330
new_york,2013,6113
new_york,2014,11658
new_york,2015,23458
new_york,2016,40420
new_york,2017,56109
new_york,2018,80052
new_york,2019,104254
new_york,2020,40568
new_york,2021,82430
new_york,2022,140947
new_york,2023,161501
new_york,2024,127748
new_york,2025,105853
san_francisco,2009,22
san_francisco,2010,268
san_francisco,2011,935
san_francisco,2012,1816
san_francisco,2013,3586
san_francisco,2014,7853
san_francisco,2015,12226
san_francisco,2016,18905
san_francisco,2017,25979
san_francisco,2018,33421
san_francisco,2019,42134
san_francisco,2020,17171
san_francisco,2021,30761
san_francisco,2022,51309
san_francisco,2023,56239
san_francisco,2024,60382
san_francisco,2025,47010
