neighbourhood_cleansed,n_listings,median_price,median_occupancy,median_revenue,p75_revenue,z_median_price,z_median_occupancy,z_median_revenue,composite_score,premium_gap,rank
Ewa,827,461.0,0.4767123287671233,62091.99999999998,121526.0,2.696,2.654,2.696,2.683,0.042,1
Koloa-Poipu,1650,383.0,0.3520547945205479,50601.0,96502.99999999999,1.788,1.082,1.893,1.629,0.706,2
Lihue,759,286.0,0.3726027397260274,47128.0,80942.0,0.658,1.341,1.651,1.359,-0.683,3
Lahaina,5147,367.0,0.3178082191780822,40865.99999999999,116407.0,1.602,0.65,1.213,1.122,0.952,4
South Kohala,1941,318.0,0.2931506849315068,38224.99999999999,68614.0,1.031,0.339,1.029,0.822,0.692,5
Kapaa-Wailua,829,249.0,0.3260273972602739,34060.0,59898.0,0.228,0.753,0.738,0.64,-0.525,6
North Shore Kauai,2307,278.0,0.3068493150684931,34113.0,63938.0,0.565,0.512,0.742,0.638,0.053,7
Koolauloa,581,300.0,0.284931506849315,30318.000000000004,57933.0,0.821,0.235,0.477,0.473,0.586,8
North Kona,3609,200.0,0.3424657534246575,27383.999999999993,54050.99999999999,-0.343,0.961,0.272,0.356,-1.304,9
Koolaupoko,409,262.0,0.2986301369863013,24975.0,48116.99999999999,0.379,0.408,0.103,0.25,-0.029,10
Hana,79,303.0,0.2547945205479452,26179.999999999993,38781.0,0.856,-0.145,0.188,0.222,1.001,11
Kihei-Makena,4349,218.0,0.3095890410958904,25296.000000000004,48517.0,-0.134,0.546,0.126,0.2,-0.68,12
North Shore Oahu,311,236.0,0.2794520547945205,22539.999999999996,49818.5,0.076,0.166,-0.067,0.032,-0.09,13
Paia-Haiku,202,272.0,0.25342465753424653,21880.999999999996,49843.749999999956,0.495,-0.162,-0.113,-0.006,0.657,14
East Honolulu,174,262.5,0.26164383561643834,19447.0,53730.0,0.385,-0.059,-0.283,-0.082,0.444,15
South Kona,263,169.0,0.2931506849315068,19518.999999999996,34198.5,-0.704,0.339,-0.278,-0.178,-1.043,16
Waianae,308,201.5,0.2602739726027397,18628.999999999993,38066.25,-0.326,-0.076,-0.34,-0.258,-0.25,17
Primary Urban Center,6311,155.0,0.2904109589041095,16863.999999999996,31012.5,-0.867,0.304,-0.463,-0.314,-1.171,18
North Hilo,64,182.5,0.2561643835616438,16682.0,37474.5,-0.547,-0.128,-0.476,-0.386,-0.419,19
North Kohala,107,171.0,0.2630136986301369,16037.0,38050.5,-0.681,-0.041,-0.521,-0.409,-0.64,20
South Hilo,553,141.0,0.2219178082191781,11960.0,27422.999999999996,-1.03,-0.56,-0.806,-0.777,-0.47,21
Puna,1206,120.0,0.2465753424657534,10495.999999999996,23121.75,-1.275,-0.249,-0.908,-0.784,-1.026,22
Central Oahu,44,159.0,0.20273972602739726,9730.5,26716.75,-0.821,-0.802,-0.962,-0.886,-0.019,23
Makawao-Pukalani-Kula,61,210.0,0.1342465753424657,7692.999999999997,30999.999999999996,-0.227,-1.665,-1.104,-1.097,1.438,24
Kau,183,120.0,0.1643835616438356,7685.999999999996,18311.5,-1.275,-1.285,-1.104,-1.192,0.01,25
Molokai,185,120.0,0.1671232876712328,6150.0,13572.0,-1.275,-1.251,-1.212,-1.236,-0.024,26
Hamakua,62,123.5,0.147945205479452,7090.999999999996,16256.999999999998,-1.234,-1.493,-1.146,-1.268,0.259,27
Wailuku-Kahului,118,157.0,0.07808219178082185,4226.499999999997,12571.25,-0.844,-2.374,-1.346,-1.554,1.53,28
