property_type,reviews_in_scope,reviews_complaint_cue,share_complaint_cue
Private room in dome,1,1,1.0
Cycladic home,4,2,0.5
Private room in kezhan,8,4,0.5
Private room in treehouse,45,20,0.444444
Room in hotel,60393,20545,0.340188
Room in boutique hotel,39089,13202,0.337742
Room in serviced apartment,183,59,0.322404
Entire bed and breakfast,46,13,0.282609
Private room in houseboat,211,57,0.270142
Island,1270,315,0.248031
Hut,625,153,0.2448
Tent,558,136,0.243728
Room in aparthotel,19736,4734,0.239866
Room in resort,117,28,0.239316
Private room in hostel,4372,991,0.22667
Entire cabin,18395,3891,0.211525
Entire resort,823,173,0.210207
Treehouse,3579,752,0.210115
Private room in resort,7288,1523,0.208974
Private room in serviced apartment,1213,250,0.206101
Camper/RV,6029,1232,0.204346
Yurt,1077,220,0.204271
Entire villa,28927,5891,0.203651
Farm stay,10883,2195,0.201691
Shared room in farm stay,40,8,0.2
Dome,1647,327,0.198543
Entire condo,771217,152761,0.198078
Entire serviced apartment,20837,4126,0.198013
Private room in hut,867,169,0.194925
Campsite,237,46,0.194093
Casa particular,673,130,0.193165
Castle,326,62,0.190184
Boat,338,64,0.189349
Private room,4750,899,0.189263
Shipping container,842,158,0.187648
Earthen home,631,117,0.18542
Entire rental unit,817510,151428,0.185231
Private room in castle,27,5,0.185185
Entire cottage,57660,10572,0.183351
Room in hostel,11,2,0.181818
Private room in farm stay,2838,513,0.180761
Private room in barn,95,17,0.178947
Entire vacation home,7497,1330,0.177404
Private room in tent,603,106,0.175788
Private room in yurt,177,31,0.175141
Entire loft,60712,10520,0.173277
Tiny home,25960,4475,0.172381
Ranch,801,137,0.171036
Entire townhouse,120656,20319,0.168404
Entire chalet,428,72,0.168224
Private room in religious building,119,20,0.168067
Private room in bed and breakfast,20175,3380,0.167534
Shared room in bed and breakfast,403,66,0.163772
Entire home,831718,135094,0.162428
Barn,1192,192,0.161074
Entire place,11875,1900,0.16
Houseboat,69,11,0.15942
Private room in cabin,522,83,0.159004
Entire in-law,322,51,0.158385
Private room in loft,6600,1040,0.157576
Shared room in guest suite,460,72,0.156522
Shared room,104,16,0.153846
Entire bungalow,49934,7680,0.153803
Private room in guest suite,50512,7754,0.153508
Shared room in townhouse,1338,205,0.153214
Private room in guesthouse,7076,1077,0.152205
Private room in rental unit,203653,30601,0.15026
Private room in minsu,74,11,0.148649
Private room in cottage,1201,178,0.14821
Cave,34,5,0.147059
Entire guesthouse,290115,42497,0.146483
Entire guest suite,334300,48821,0.146039
Shared room in hostel,3881,565,0.145581
Train,789,114,0.144487
Private room in earthen home,259,37,0.142857
Private room in tiny home,1759,250,0.142126
Shared room in serviced apartment,558,79,0.141577
Shared room in hotel,578,81,0.140138
Private room in nature lodge,557,78,0.140036
Shared room in condo,172,24,0.139535
Shared room in loft,137,19,0.138686
Private room in townhouse,58489,7916,0.135342
Shared room in guesthouse,193,26,0.134715
Private room in casa particular,1388,181,0.130403
Shared room in rental unit,3095,403,0.13021
Private room in villa,4632,595,0.128454
Shepherd’s hut,8,1,0.125
Private room in home,388861,48380,0.124415
Shared room in home,1896,235,0.123945
Private room in ranch,164,20,0.121951
Shared room in boutique hotel,51,6,0.117647
Shared room in nature lodge,51,6,0.117647
Private room in bungalow,7944,934,0.117573
Private room in condo,50225,5645,0.112394
Bus,18,2,0.111111
Tower,164,18,0.109756
Room in bed and breakfast,810,85,0.104938
Lighthouse,86,9,0.104651
Private room in vacation home,90,9,0.1
Entire home/apt,93,8,0.086022
Private room in camper/rv,170,13,0.076471
Tipi,1,0,0.0
Shared room in casa particular,5,0,0.0
