term,n_top,n_other,lift_top_vs_other
world,6.0,0.0,7.0
approach,5.0,0.0,6.0
goodi,5.0,0.0,6.0
recommend,5.0,0.0,6.0
thi,5.0,0.0,6.0
would,5.0,0.0,6.0
again,4.0,0.0,5.0
bay,4.0,0.0,5.0
friendli,4.0,0.0,5.0
experi,4.0,0.0,5.0
come,4.0,0.0,5.0
back,4.0,0.0,5.0
time,4.0,0.0,5.0
person,4.0,0.0,5.0
sister,4.0,0.0,5.0
work,4.0,0.0,5.0
highli,4.0,0.0,5.0
help,4.0,0.0,5.0
you,4.0,0.0,5.0
sall,3.0,0.0,4.0
need,3.0,0.0,4.0
perfect,3.0,0.0,4.0
sympathiqu,3.0,0.0,4.0
celebr,3.0,0.0,4.0
care,3.0,0.0,4.0
brought,3.0,0.0,4.0
15,3.0,0.0,4.0
20,3.0,0.0,4.0
our,3.0,0.0,4.0
polit,3.0,0.0,4.0
wow,3.0,0.0,4.0
full,3.0,0.0,4.0
luxuri,3.0,0.0,4.0
lucki,3.0,0.0,4.0
internet,3.0,0.0,4.0
invit,3.0,0.0,4.0
host,3.0,0.0,4.0
had,3.0,0.0,4.0
charg,3.0,0.0,4.0
daili,3.0,0.0,4.0
serious,0.0,6.0,0.14285714285714285
temp,0.0,6.0,0.14285714285714285
imposs,0.0,6.0,0.14285714285714285
purpos,0.0,6.0,0.14285714285714285
dollar,0.0,6.0,0.14285714285714285
child,0.0,6.0,0.14285714285714285
24,0.0,6.0,0.14285714285714285
built,0.0,6.0,0.14285714285714285
taco,0.0,7.0,0.125
cabl,0.0,7.0,0.125
boy,0.0,7.0,0.125
blind,0.0,7.0,0.125
bless,0.0,7.0,0.125
advanc,0.0,7.0,0.125
surprisingli,0.0,7.0,0.125
narrow,0.0,7.0,0.125
fold,0.0,7.0,0.125
hiccup,0.0,7.0,0.125
continu,0.0,7.0,0.125
court,0.0,7.0,0.125
kitchenett,0.0,7.0,0.125
mold,0.0,7.0,0.125
meant,0.0,7.0,0.125
keurig,0.0,7.0,0.125
woman,0.0,7.0,0.125
unexpect,0.0,7.0,0.125
toward,0.0,7.0,0.125
suitcas,0.0,7.0,0.125
partial,0.0,7.0,0.125
nestl,0.0,7.0,0.125
smoke,0.0,7.0,0.125
repair,0.0,7.0,0.125
tend,0.0,7.0,0.125
ya,0.0,8.0,0.1111111111111111
district,0.0,8.0,0.1111111111111111
dont,0.0,8.0,0.1111111111111111
vent,0.0,8.0,0.1111111111111111
boutiqu,0.0,9.0,0.1
dusti,0.0,9.0,0.1
twin,0.0,9.0,0.1
