City,rank,term,tfidf
Hawaii,1,maui,0.10024423673168134
Hawaii,2,lanai,0.09751421159605284
Hawaii,3,waikiki,0.09574842429993397
Hawaii,4,kona,0.09258950812980551
Hawaii,5,snorkel,0.07411297820292329
Hawaii,6,the,0.07269272235889243
Hawaii,7,and,0.07098819991850613
Hawaii,8,cabin,0.06991567507296793
Hawaii,9,beach,0.06900036208699131
Hawaii,10,to,0.06788998300175886
Hawaii,11,wa,0.06633388135205358
Hawaii,12,we,0.06520313233249263
Hawaii,13,is,0.06336609711711533
Hawaii,14,in,0.06304025269355801
Hawaii,15,stay,0.06280087033841941
Hawaii,16,cottag,0.06231979304971292
Hawaii,17,of,0.0622958283892606
Hawaii,18,for,0.06223515643221393
Hawaii,19,it,0.06178788202692897
Hawaii,20,place,0.06147952989856387
Hawaii,21,great,0.06115607336059332
Hawaii,22,veri,0.060794331420908856
Hawaii,23,with,0.06006812110122989
Hawaii,24,you,0.05968017885340678
Hawaii,25,ocean,0.05964711273535519
Hawaii,26,our,0.059031870216614026
Hawaii,27,thi,0.058910551839897574
Hawaii,28,locat,0.058648539853891124
Hawaii,29,were,0.05827074154564549
Hawaii,30,island,0.05809148815726254
Los Angeles,1,clair,0.07993321731849495
Los Angeles,2,the,0.07249758985754855
Los Angeles,3,and,0.07237912986495737
Los Angeles,4,cabin,0.07040657857292802
Los Angeles,5,to,0.06869052948928167
Los Angeles,6,wa,0.06855050809550288
Los Angeles,7,is,0.06538429986585603
Los Angeles,8,in,0.0651752159443085
Los Angeles,9,stay,0.06506582095370815
Los Angeles,10,place,0.06393769915754278
Los Angeles,11,for,0.06370089795732818
Los Angeles,12,we,0.06364403687302639
Los Angeles,13,veri,0.06363084673392745
Los Angeles,14,it,0.0634313467257903
Los Angeles,15,great,0.06330628918688277
Los Angeles,16,of,0.062345057427985746
Los Angeles,17,with,0.06077971337342639
Los Angeles,18,you,0.06048455276765862
Los Angeles,19,locat,0.059821513820629
Los Angeles,20,thi,0.059643720732066634
Los Angeles,21,clean,0.05957180582083513
Los Angeles,22,host,0.05904860997026592
Los Angeles,23,had,0.05858447320926777
Los Angeles,24,would,0.05793754753819948
Los Angeles,25,beach,0.05772636210940633
Los Angeles,26,our,0.0576660286851899
Los Angeles,27,nice,0.05743110338859644
Los Angeles,28,my,0.057327327673572105
Los Angeles,29,at,0.05731237137381104
Los Angeles,30,were,0.0571571263368914
Nashville,1,nashvil,0.12953282773316832
Nashville,2,jess,0.09283186755599912
Nashville,3,broadway,0.09241596243738495
Nashville,4,the,0.07623631001062459
Nashville,5,and,0.07620605025002111
Nashville,6,to,0.07375560235248772
Nashville,7,wa,0.07326750662146346
Nashville,8,cottag,0.07217583147743177
Nashville,9,we,0.06933159352801288
Nashville,10,stay,0.0682090511875887
Nashville,11,in,0.06818154165909783
Nashville,12,great,0.06780506049444822
Nashville,13,for,0.06716167813619853
Nashville,14,place,0.06660383767992199
Nashville,15,it,0.06631293572797824
Nashville,16,veri,0.06580926957109358
Nashville,17,is,0.06548181795605593
Nashville,18,of,0.0654687746335727
Nashville,19,locat,0.06412202979325311
Nashville,20,with,0.06291910505104271
Nashville,21,clean,0.06263545039571704
Nashville,22,our,0.06230172219958624
Nashville,23,had,0.0619803101047415
Nashville,24,were,0.06173721175130217
Nashville,25,thi,0.06158039346272918
Nashville,26,would,0.06135387119269727
Nashville,27,you,0.060615160260620575
Nashville,28,again,0.06024749690878236
Nashville,29,but,0.05922403726379471
Nashville,30,that,0.058965703954029725
New York,1,claud,0.12264868903026367
New York,2,andrew,0.08809172804339738
New York,3,manhattan,0.08692833845113802
New York,4,subway,0.07806559109268021
New York,5,the,0.07576840061407981
New York,6,and,0.07540841979282666
New York,7,nyc,0.07301694072463943
New York,8,to,0.07168942388151081
New York,9,wa,0.07087478821405879
New York,10,is,0.06908414261580048
New York,11,in,0.06807195068708559
New York,12,veri,0.06662093282869676
New York,13,stay,0.06591861975949229
New York,14,it,0.06532963117698787
New York,15,great,0.06527504052954851
New York,16,place,0.0651182422362617
New York,17,for,0.06480933877657025
New York,18,we,0.06475093704893295
New York,19,of,0.0640989143167687
New York,20,with,0.0625313087751209
New York,21,locat,0.06252479788522805
New York,22,you,0.062082495094164525
New York,23,host,0.061397890452049034
New York,24,broadway,0.06110151028283676
New York,25,clean,0.060646787507711346
New York,26,squar,0.060369169867486104
New York,27,apart,0.059513215577618406
New York,28,thi,0.058944928164870666
New York,29,time,0.05844275747956427
New York,30,would,0.058409570042642335
San Francisco,1,and,0.08272347323677096
San Francisco,2,the,0.0826973366484018
San Francisco,3,to,0.07736974829095587
San Francisco,4,wa,0.07697923607213683
San Francisco,5,in,0.07324433277846798
San Francisco,6,stay,0.07253991310857137
San Francisco,7,is,0.07245092175393511
San Francisco,8,great,0.07206049814581643
San Francisco,9,of,0.07115031668723173
San Francisco,10,we,0.0705185265632354
San Francisco,11,veri,0.07050845342612629
San Francisco,12,for,0.07034573785954373
San Francisco,13,place,0.07011711180065425
San Francisco,14,it,0.06886619516516294
San Francisco,15,with,0.06824072868184633
San Francisco,16,locat,0.06781645659755013
San Francisco,17,host,0.06624923562078114
San Francisco,18,had,0.06500505033937824
San Francisco,19,clean,0.06468449356116383
San Francisco,20,our,0.06456858633739473
San Francisco,21,room,0.06431223695999526
San Francisco,22,thi,0.06421167263474954
San Francisco,23,were,0.06386113642574076
San Francisco,24,you,0.0638189888453468
San Francisco,25,my,0.06290860997348742
San Francisco,26,recommend,0.06250248918665267
San Francisco,27,at,0.062354682521881095
San Francisco,28,would,0.062179130605534316
San Francisco,29,hous,0.061974234818695545
San Francisco,30,comfort,0.0618174567924092
