listing_id,City,n_chars,n_reviews_concatenated
10000070,New York,4647,20
100002,New York,51602,143
1000023148920376325,New York,572,2
10000255,Los Angeles,4366,23
1000062405961161698,Nashville,11288,49
1000103124244467969,New York,657,3
1000111199730505604,Hawaii,759,3
1000137810265352657,Los Angeles,2351,17
1000216303280486482,Hawaii,20159,87
1000230934703617844,Los Angeles,13168,64
1000239194477102906,Nashville,7946,25
1000268837113891903,Los Angeles,1142,7
1000280166040727910,New York,105,1
1000287061863084006,Los Angeles,3254,19
1000295883392015540,Hawaii,17541,83
1000297432745285908,Los Angeles,1183,2
1000309791900962717,Los Angeles,4747,16
1000329097801868867,Los Angeles,3286,16
1000353432210964497,Los Angeles,7510,30
1000611103131696812,New York,2439,10
1000637914058448005,New York,11396,39
1000657184414316498,Los Angeles,5048,22
1000691832643780415,New York,19129,80
1000692355810719213,Los Angeles,992,3
1000697739867775924,New York,14832,53
1000704809520026503,San Francisco,10021,46
1000713117873527752,Los Angeles,22351,96
1000723275920698851,Nashville,4943,28
1000725177402158276,Los Angeles,10978,35
1000725721637781871,Los Angeles,317,1
1000816423577510417,Nashville,3738,15
1000824278792934142,Nashville,37650,164
1000880794037711710,Hawaii,29608,95
1000884076964094830,Los Angeles,4912,17
1000899125263500605,Los Angeles,18736,70
1000918036190522094,Hawaii,4085,20
1000926510679714616,Los Angeles,23928,120
1000935847409107747,Hawaii,569,2
1000944483394528598,Los Angeles,23771,96
1000948250868183687,Hawaii,4277,11
1000971127784516254,Hawaii,656,3
1000999254583000455,Los Angeles,9992,41
1001012858867202983,Los Angeles,12590,47
1001043866895253119,Los Angeles,33295,128
1001054425301159913,Hawaii,226,1
1001060339425999868,Los Angeles,33785,140
1001083161584905141,Los Angeles,3199,15
1001084182014195712,Hawaii,2677,4
1001108053602065275,Hawaii,17122,51
1001166370551563656,New York,15405,69
1001181240387597320,Hawaii,10806,42
1001265,Hawaii,71627,205
1001300298780525900,Hawaii,1250,2
10013402,Hawaii,4897,10
1001343758334590824,New York,7219,30
1001345102622728580,Nashville,3120,18
1001424726363621090,San Francisco,199,1
1001437155793208215,Los Angeles,1565,4
1001437831711898228,Los Angeles,3708,21
1001440529474017113,Hawaii,4865,14
1001442118570469957,New York,15189,62
1001474020651762674,Hawaii,10313,26
1001485715204947552,Hawaii,521,2
1001495090409402195,New York,78,1
1001506832399133027,Los Angeles,8323,33
1001507167604490878,New York,92,1
1001523834742059660,Los Angeles,1760,4
1001525726638413343,Hawaii,2058,6
1001526440867578496,Los Angeles,1656,6
1001526454123072161,Hawaii,31,1
1001527201785016375,Hawaii,131,1
1001533760739742081,New York,17167,119
1001535719995297015,New York,8927,21
1001556171609636003,Hawaii,2165,10
1001581209924075538,Los Angeles,13298,63
1001592297790068352,Los Angeles,694,3
1001598392441206590,New York,23011,90
1001598884664966076,San Francisco,8651,45
1001621908750283047,Hawaii,9757,39
1001626139258130718,Los Angeles,17405,59
1001638692383599358,Los Angeles,14525,69
10017234,Nashville,94274,427
1001730138556048837,New York,11819,56
1001737519563399181,New York,2597,7
1001786036194442794,Hawaii,9874,34
100186,New York,52562,121
1001871,Hawaii,16565,48
1001989628810015547,Los Angeles,10530,45
10020120,Hawaii,127818,482
1002020087000567531,New York,143,1
10020418,Los Angeles,25146,83
1002102659439100193,Los Angeles,6873,31
1002150083851477277,Hawaii,8136,26
1002169233962444655,Los Angeles,7264,39
1002195760983737536,Nashville,20748,61
1002228339963093553,Los Angeles,7577,30
1002273939618201882,Los Angeles,4520,14
1002283155405615516,San Francisco,14706,49
1002338091891147677,New York,1132,2
1002349284786586987,New York,235,2
1002370285221131837,Hawaii,26740,109
1002372308719939596,New York,2326,7
1002379682073037803,New York,728,1
1002454386536745431,San Francisco,26798,115
1002471204682232435,Los Angeles,13155,58
1002576570740314319,Hawaii,6598,13
1002587957919928161,Los Angeles,1085,4
1002588296589867632,Hawaii,13368,54
1002762231875704553,New York,1108,3
1002808727964654800,New York,342,3
1002825899474348002,New York,11759,44
1002871954833951235,Hawaii,71,1
1002889476546885766,Los Angeles,792,3
1002901279261958734,Los Angeles,861,5
1002908931928821324,Los Angeles,17368,65
1002937181682115157,Hawaii,500,2
1002938301240121368,New York,11811,75
1002982615301260302,Los Angeles,23478,137
1002995318996251968,Los Angeles,505,4
1003007059776362718,New York,1753,3
1003040619614964751,Hawaii,3982,19
