column,suggested_standardized_dtype,suggested_dtype
accommodates,datetime,
amenities,string,
availability_30,Int64,
availability_365,Int64,
availability_60,Int64,
availability_90,Int64,
availability_eoy,Int64,
bathrooms,float,
bathrooms_text,string,
bedrooms,float,
beds,float,
calculated_host_listings_count,Int64,
calculated_host_listings_count_entire_homes,Int64,
calculated_host_listings_count_private_rooms,Int64,
calculated_host_listings_count_shared_rooms,Int64,
calendar_last_scraped,datetime,
calendar_updated,datetime,
description,string,
estimated_occupancy_l365d,Int64,
estimated_revenue_l365d,float,
first_review,datetime,
has_availability,string,
host_about,string,
host_acceptance_rate,float,
host_has_profile_pic,boolean,
host_id,float,
host_identity_verified,boolean,
host_is_superhost,boolean,
host_listings_count,float,
host_location,string,
host_name,string,
host_neighbourhood,string,
host_picture_url,string,
host_response_rate,float,
host_response_time,float,
host_since,datetime,
host_thumbnail_url,string,
host_total_listings_count,float,
host_url,string,
host_verifications,string,
id,float,
instant_bookable,boolean,
last_review,datetime,
last_scraped,datetime,
latitude,float,
license,string,
listing_url,string,
longitude,float,
maximum_maximum_nights,float,
maximum_minimum_nights,float,
maximum_nights,Int64,
maximum_nights_avg_ntm,float,
minimum_maximum_nights,float,
minimum_minimum_nights,float,
minimum_nights,Int64,
minimum_nights_avg_ntm,float,
name,string,
neighborhood_overview,string,
neighbourhood,string,
neighbourhood_cleansed,string,
neighbourhood_group_cleansed,string,
number_of_reviews,Int64,
number_of_reviews_l30d,Int64,
number_of_reviews_ltm,Int64,
number_of_reviews_ly,Int64,
picture_url,string,
price,float,
property_type,string,
review_scores_accuracy,float,
review_scores_checkin,float,
review_scores_cleanliness,float,
review_scores_communication,float,
review_scores_location,float,
review_scores_rating,float,
review_scores_value,float,
reviews_per_month,float,
room_type,string,
scrape_id,string,string
source,string,
